id,subject,headline,claim_text,evidence_type,locator,source_url,metric,value,unit,baseline,task,sample_n,sample_unit_or_reason,model,model_version,hardware,test_level,measurement_scope,findings,limitations
c-26532-calls,arxiv:2609.26532,95% success with 1.12 strong calls/task vs 88% and 4.10 (−72.7%),"At τ = 0.5 REFLEX reached 95% success with 1.12 strong-model calls per task, against 88% and 4.10 calls for the strong-only agent — 72.7% fewer strong calls.",author_reported_experiment,Abstract; §5.1; Table 1,https://arxiv.org/abs/2609.26532v1,task success; strong calls per task,"{""reflex"": {""success"": 0.95, ""strong_calls"": 1.12}, ""strong_only"": {""success"": 0.88, ""strong_calls"": 4.1}}",,strong-only agent (B0),tool-using agent tasks (REFLEX-Sim),100,frozen tasks,Jev + strong LLM fallback,jev-1.13.0,null (not_applicable_hosted),system_test,end_to_end,F3:supports,Controlled benchmark shows ceiling effects for 2026 frontier models.
c-26532-external,arxiv:2609.26532,BFCL / τ-style: limited edge over a cheap generative cascade,"On external BFCL tasks and 300 τ-style episodes, advantages over a cheap generative cascade with self-escalation were limited where ordinary routing was already highly accurate.",author_reported_experiment,Abstract; external evaluation; Limitations,https://arxiv.org/abs/2609.26532v1,task success; cost,,,cheap generative cascade,BFCL; τ-style multi-turn episodes,300,episodes (60 paired tasks),Jev + strong LLM fallback,jev-1.13.0,null (not_applicable_hosted),system_test,not_applicable,F3:qualifies,"Held-out validation, not a full leaderboard with multiple trials."
c-26532-action-set,arxiv:2609.26532,Reliability depends on action-set size and near-valid alternatives,Controlled interventions showed that reliability depends on action-set size and on near-valid alternatives near authorisation boundaries.,author_reported_experiment,Abstract; controlled interventions,https://arxiv.org/abs/2609.26532v1,,,,,agent decisions with varied action sets,,see_paper,Jev,jev-1.13.0,null (not_applicable_hosted),system_test,not_applicable,F1:supports; F3:qualifies,Effects concentrate in authority and risk families.
c-25845-quality,arxiv:2609.25845,Macro accuracy 0.706 → 0.761 after post-training (seen families),"Answer-supervised post-training raised equal-weight macro accuracy across four benchmarks from 0.706 to 0.761, with the gain concentrated on the two task families represented in training.",author_reported_experiment,Abstract; §4; Table 2,https://arxiv.org/abs/2609.25845v1,macro accuracy,"{""before"": 0.706, ""after"": 0.761}",,untuned Qwen3-VL-4B read through its LM head,"GQA, SNLI-VE, TextVQA, TallyQA",,per_benchmark_sizes_in_paper,Visual Jev (Qwen3-VL-4B),paper v1,1× RTX 5090,model_test,not_applicable,F6:supports,Seen-family gains; limited transfer to unseen families.
c-25845-speed,arxiv:2609.25845,"8.9× vs serial, 3.4× vs no-reuse batch; 5.7 ms/question amortized","With 32 questions per image, shared batched execution was 8.9× faster in warm amortized time than independent serial execution and 3.4× faster than batching that recomputes the prefix (5.7 ms per question; about 182 ms per 32-question batch).",author_reported_experiment,Abstract; §5; Limitations,https://arxiv.org/abs/2609.25845v1,speed-up,"{""vs_serial"": 8.9, ""vs_batched_no_reuse"": 3.4, ""amortized_ms"": 5.7, ""batch_ms"": 182}",,independent serial; batched without prefix reuse,,32,questions per image,Visual Jev (Qwen3-VL-4B),paper v1,1× RTX 5090 (bfloat16),model_test,amortized_question,F4:supports,"Amortized throughput, not independent-request latency; higher peak memory; queueing excluded."
c-25845-typed-head,arxiv:2609.25845,Typed head: no consistent gain over LM-head readout,A matched typed-head control offered no consistent accuracy advantage over reading candidate probabilities from the backbone’s LM head.,author_reported_experiment,Abstract; §5,https://arxiv.org/abs/2609.25845v1,accuracy,,,LM-head readout,,,per_benchmark_sizes_in_paper,Visual Jev variants,paper v1,1× RTX 5090,model_test,not_applicable,F5:supports; F4:supports,One backbone family.
c-24965-correct-latency,arxiv:2609.24965,"Full semantic correctness; median 0.335 s, p95 0.442 s","Jev matched five other configurations at complete semantic correctness on 20 Choices × 5 repetitions and had the lowest observed median latency among successful responses (0.335 s; p95 0.442 s), at about $0.000060 per successful response.",author_reported_experiment,Abstract; §3.2; Table 1,https://arxiv.org/abs/2609.24965v1,semantic correctness; median latency,"{""median_s"": 0.335, ""p95_s"": 0.442, ""cost_usd_per_success"": 6e-05}",,eleven other configurations,source-grounded scientific Choices,100,requests (20 Choices × 5),Jev,Jev 1.13,null (not_applicable_hosted),model_test,single_request,F3:supports; F4:supports,"Ten cases; six configurations reach complete correctness, so the set is not discriminative."
c-24965-hidden-errors,arxiv:2609.24965,7 wrong selections changed counts but not the final label,"Across three comparison models, seven wrong selections on one culture-history question changed downstream counts while preserving the correct final claim label.",author_reported_experiment,Abstract; §3 (correct labels can conceal wrong quantities),https://arxiv.org/abs/2609.24965v1,derived-quantity errors,7,wrong selections,,Luria–Delbrück culture-history case,,single_case,three comparison LLMs (not Jev),null (see_paper),null (not_applicable_hosted),system_test,not_applicable,F6:supports; F1:supports,"Errors were made by comparison models; the point is about evaluation design, not about Jev."
c-24574-accuracy-cost,arxiv:2609.24574,Behind best LLM on 14/15 tasks (−11.6 F1) at 44× lower cost,"Jev trailed the per-task best LLM on 14 of 15 evaluation tasks, by a median 11.6 macro-F1 points, at a median 44 times lower measured cost.",author_reported_experiment,Abstract; §4,https://arxiv.org/abs/2609.24574v1,macro-F1 deficit; cost ratio,"{""tasks_trailing"": ""14/15"", ""median_f1_deficit_pts"": 11.6, ""median_cost_ratio"": 44}",,per-task best of 19 LLMs,15 CSS classification tasks,7977,items (18-task grid),Jev,typesafe/jev1.13 (OpenRouter),null (not_applicable_hosted),model_test,end_to_end,F3:supports,Zero-shot protocol for every model; tasks from one established suite; older corpora may overlap with training data.
c-24574-ece,arxiv:2609.24574,Median ECE 0.157 vs 0.066 for the best (verbalised) LLM,"Jev’s median expected calibration error over the evaluation tasks was 0.157 (95% CI [0.108, 0.233]) — lower than the verbalised-confidence error of 16 of 19 LLMs but higher than three frontier Claude models (Opus 5: 0.066).",author_reported_experiment,Abstract; §4 (calibration); Appendix B,https://arxiv.org/abs/2609.24574v1,median ECE (15 equal-width bins),"{""jev"": 0.157, ""best_baseline"": 0.066}",,verbalised confidence of 19 LLMs,,15,tasks (≤500 items each),Jev,typesafe/jev1.13 (OpenRouter),null (not_applicable_hosted),model_test,not_applicable,F2:supports,Median intervals overlap.; Under equal-mass binning Sonnet 5 falls slightly behind Jev; Opus 5 stays ahead.
c-24574-empathy,arxiv:2609.24574,Empathy: confident near chance; task ECE 0.538,"On the empathy task the model reported high confidence while performing near chance; the task contributes a calibration error of 0.538, and removing it lowers the median only to 0.142.",author_reported_experiment,Abstract; §4,https://arxiv.org/abs/2609.24574v1,task ECE,0.538,,,empathy in peer-support dialogues,,per_task_size_in_paper,Jev,typesafe/jev1.13 (OpenRouter),null (not_applicable_hosted),model_test,not_applicable,F2:supports,One construct; the authors do not claim the failure generalises.
c-24574-cascade,arxiv:2609.24574,Low-confidence routing matches the LLM at ¼–½ of its cost,Routing low-confidence items to an LLM matched or exceeded that LLM alone at roughly a quarter to half of its measured cost; items at or above 0.9 confidence reached a median accuracy of 0.815 at 0.376 coverage.,author_reported_experiment,Abstract; §4 (cascades),https://arxiv.org/abs/2609.24574v1,accuracy; cost fraction,"{""cost_fraction_range"": [0.25, 0.5], ""acc_at_conf_0.9"": 0.815, ""coverage_at_conf_0.9"": 0.376}",,LLM alone,,,per_task_sizes_in_paper,Jev → LLM cascade,typesafe/jev1.13 (OpenRouter),null (not_applicable_hosted),model_test,end_to_end,F3:supports,Measured on the tested tasks and LLMs only.
c-24395-study-a,arxiv:2609.24395,"PLCC vs VMAF: 0.737 (metadata) → 0.824 (+bitstream, pixel)","Against VMAF, metadata-only JEVQA reached PLCC 0.737 (ITU-T P.1204.1: 0.733); adding bitstream data gave 0.797 and bitstream plus pixel features 0.824; a pixel-only variant failed.",author_reported_experiment,Abstract; §§IV–V,https://arxiv.org/abs/2609.24395v1,PLCC,"{""metadata"": 0.737, ""bitstream"": 0.797, ""bitstream_pixel"": 0.824, ""p1204_1"": 0.733}",,ITU-T P.1204.1; models trained on the same features,video quality vs VMAF,1936,encodes (22 sources),Jev reading extracted features,jev-1.13,null (not_applicable_hosted),model_test,not_applicable,F6:supports,"Target is VMAF, not human MOS.; Trained models on the same features remain clearly ahead."
c-24395-study-b,arxiv:2609.24395,Correlation with MOS 0.879 vs P.1204.1 0.898,"Against subjective MOS on AVT-VQDB-UHD-1, metadata-only JEVQA reached a correlation of 0.879, close to P.1204.1 (0.898); bitstream statistics did not help.",author_reported_experiment,Abstract; §V,https://arxiv.org/abs/2609.24395v1,correlation with MOS,"{""jevqa_metadata"": 0.879, ""p1204_1"": 0.898}",,ITU-T P.1204.1,video quality vs MOS,562,processed video sequences,Jev reading extracted features,jev-1.13,null (not_applicable_hosted),model_test,not_applicable,F3:qualifies,Standard models have seen part of this database.
c-24052-scale,arxiv:2609.24052,"499,500 narratives screened for $25.23; 195,857 fully coded","A first-stage screen returned answers for 499,500 Texas narratives at a cost of $25.23; the second stage coded 195,857 narratives with a 27-question schema. Cost is governed by schema size rather than narrative length.",author_reported_experiment,Abstract; §3; §4.1,https://arxiv.org/abs/2609.24052v1,records coded; cost,"{""screened"": 499500, ""screen_cost_usd"": 25.23, ""coded_full_schema"": 195857}",,,crash narrative coding,499500,narratives screened,Jev,jev-1.13.0,null (not_applicable_hosted),system_test,end_to_end,F4:supports,Single region and schema.
c-24052-f1,arxiv:2609.24052,"F1 0.908 vs 2,416 human judgments; one frontier LLM +0.059","Against 2,416 blinded human judgments the typed model reached F1 0.908; one frontier model was 0.059 higher and the other indistinguishable.",author_reported_experiment,Abstract; §4.3–4.4,https://arxiv.org/abs/2609.24052v1,F1,"{""jev"": 0.908, ""frontier_gain"": 0.059}",,two frontier LLMs on the same records,,2416,"usable human judgments (effective ≈1,265)",Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F3:supports,"Sampling design gives an effective sample of about 1,265."
c-24052-recalibration,arxiv:2609.24052,Recalibration on held-out labels cut calibration error ~3.3×,"Probabilities ranked well but overstated prevalence until recalibrated; recalibration fitted on half of the human labels reduced calibration error by a factor of about 3.3 (isotonic), with calibration varying by model rather than by paradigm.",author_reported_experiment,Highlights; Abstract; §4.2; Table 6,https://arxiv.org/abs/2609.24052v1,calibration error reduction,3.3,× (factor),raw model probabilities,,2416,human judgments,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F2:supports,Same-distribution labels; not a guarantee for new regions or schemas.
c-24052-quantisation,arxiv:2609.24052,Two-decimal probabilities set a calibration-error floor,"Because probabilities are returned on a two-decimal grid, calibration error has a resolution floor for rare variables; the paper derives a bound that applies to any model reporting probabilities on a discrete grid.",author_reported_experiment,Highlights; Abstract; §3,https://arxiv.org/abs/2609.24052v1,resolution floor,,,,,,analytical,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F2:supports,Matters most for rare positives.
c-24052-reference,arxiv:2609.24052,Coded fields understate narrative fidelity by 0.26 kappa,Agreement with administrative coded fields understated fidelity to the narrative by a median of 0.26 in kappa.,author_reported_experiment,Abstract; §4.3,https://arxiv.org/abs/2609.24052v1,kappa gap,0.26,,coded fields vs human narrative labels,,,per_variable,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F6:supports,Specific to Texas CRIS fields.
c-23986-system,arxiv:2609.23986,LoCoMo judge 0.777 (+11.0%); build 158 s; 0.93 s/query,"On LoCoMo, Jev-Mem reached an overall LLM-as-a-Judge score of 0.777 (+11.0% relative to the strongest baseline), built memory in 158 s (6.6× faster than the fastest competing memory system) and averaged 0.93 s per query (36.7% lower than the fastest memory baseline at 1.47 s).",author_reported_experiment,Abstract; Experiments; Table 1,https://arxiv.org/abs/2609.23986v1,judge score; build time; query latency,"{""judge_score"": 0.777, ""rel_improvement"": 0.11, ""build_s"": 158, ""build_speedup"": 6.6, ""query_s"": 0.93, ""query_reduction"": 0.367}",,different strongest/fastest baseline per metric,long-horizon conversational memory,,benchmark_size_in_paper,Jev control plane + System-Two LLM,null (not_reported),null (not_reported),system_test,end_to_end,F6:supports,Gains belong to the whole system; each number has a different baseline; LLM-judge metric.
c-23959-quality,arxiv:2609.23959,"JevLite ensemble AUROC .974, ECE .052; no false alarms","A three-seed JevLite ensemble reached AUROC .974 with calibration error .052 on 577 turn-level decisions, non-inferior to an LLM judge (MiniMax-M3) at a pre-registered .02 margin, with no false alarms on legitimate calls and decisions 1.14 turns earlier.",author_reported_experiment,Abstract; results,https://arxiv.org/abs/2609.23959v1,AUROC; calibration error,"{""auroc"": 0.974, ""ece"": 0.052, ""turns_earlier"": 1.14}",,LLM judge (MiniMax-M3); fine-tuned ModernBERT,per-turn scam screening,577,turn decisions (41 scenarios),JevLite (Qwen3-4B + LoRA; three seeds),paper v1,one consumer GPU,model_test,not_applicable,F5:supports; F2:supports,Recipe selection had test-set exposure.; All callers synthetic.; Fine-tuned ModernBERT not significantly worse.
c-23959-latency,arxiv:2609.23959,64.5 ms/decision; 4.9× faster than same backbone generating,"JevLite took 64.5 ms per decision on one consumer GPU, 4.9× lower than the same backbone fine-tuned to generate its answer.",author_reported_experiment,Abstract; Table 1,https://arxiv.org/abs/2609.23959v1,median latency per decision,64.5,ms,same Qwen3-4B backbone fine-tuned to generate,,,see_paper,JevLite (single model),paper v1,one consumer GPU,model_test,single_request,F4:supports; F5:supports,Single-model latency; the three-model ensemble quality is a different scope.
c-23886-latency,arxiv:2609.23886,30.9 ms per decision on one laptop GPU; 32 decisions/s,"this-that-model-1.0 decided in 30.9 ms end to end on one laptop GPU and sustained 32 decisions per second, generating no output tokens.",author_reported_experiment,Abstract; §4,https://arxiv.org/abs/2609.23886v1,latency per decision,30.9,ms,,,,see_paper,this-that-model-1.0 (~2B),1.0,laptop RTX 5080 (per repository README),model_test,single_request,F4:supports,Local timing; not comparable to hosted end-to-end latency that includes the network.
c-23886-cohort,arxiv:2609.23886,68 questions: 0.941 (Brier .042) vs Jev 0.765 (.133); gap = 12 items,"On a third party’s recorded cohort of 68 questions over 17 states, this-that-model scored 0.941 accuracy (Brier 0.042) against Jev’s 0.765 (0.133); the authors note the 18-point gap rests on 12 questions.",author_reported_experiment,Abstract; Table 1; comparison discussion,https://arxiv.org/abs/2609.23886v1,accuracy; Brier,"{""this_that"": {""acc"": 0.941, ""brier"": 0.042}, ""jev"": {""acc"": 0.765, ""brier"": 0.133}}",,hosted Jev on the same items,,68,questions,this-that-model-1.0 vs Jev,1.0 (Jev version not stated),laptop GPU,model_test,not_applicable,F5:supports; F7:supports,Small cohort; wording chosen by the third party.
c-23886-subset,arxiv:2609.23886,"2,250 questions: 0.844 vs Jev 0.803 — on the open model’s training shapes","On the 2,250-question subset of the released benchmark every hosted system answered, Jev scored 0.803 against this-that-model’s 0.844 — a comparison the authors call not clean because their model was trained on those question shapes (training moved it from 0.409 to 0.844).",author_reported_experiment,Comparison discussion; Table 3,https://arxiv.org/abs/2609.23886v1,accuracy,"{""jev"": 0.803, ""this_that"": 0.844, ""before_training"": 0.409}",,,,2250,questions,this-that-model-1.0 vs Jev,1.0 (Jev version not stated),laptop GPU,model_test,not_applicable,F7:supports; F5:supports,Training-distribution advantage for the open model.
c-23886-cost,arxiv:2609.23886,$0.000217 electricity per suite pass vs $10.636 for a hosted model,One pass of the 42-family internal suite cost $0.000217 of electricity (80 W at $0.30/kWh) against $10.636 and 155.2 minutes for the most accurate hosted model measured.,author_reported_experiment,Abstract; Table 1 notes,https://arxiv.org/abs/2609.23886v1,cost per suite pass,"{""this_that_usd"": 0.000217, ""best_hosted_usd"": 10.636, ""best_hosted_minutes"": 155.2}",,most accurate hosted model,,,internal_suite_not_released,this-that-model-1.0,1.0,laptop GPU (80 W),model_test,author_estimate,F4:supports,"Electricity-only marginal cost excludes hardware, operations and margin; not an API price.; Internal suite is not released."
c-23136-latency,arxiv:2609.23136,"Median decision latency −22.4% vs DeepSeek, −61.9% vs Gemini","With correct interpretation on all evaluated contracts, Jev reduced median decision latency by 22.4% against DeepSeek and 61.9% against Gemini.",author_reported_experiment,Abstract; interpretation results,https://arxiv.org/abs/2609.23136v1,median decision latency reduction,"{""vs_deepseek"": 0.224, ""vs_gemini"": 0.619}",,DeepSeek; Gemini,,,see_paper,Jev,Jev 1.13,null (not_applicable_hosted),model_test,single_request,F4:supports,Live API timing from one location and period.
c-23136-completion,arxiv:2609.23136,"Correct & on time: Jev 459, DeepSeek 463, Qwen 435 of 1,080","In the real image-reading service reached over simulated NR access, Jev completed 459 of 1,080 requests correctly and on time, against 463 for DeepSeek and 435 for Qwen.",author_reported_experiment,Abstract; real image service results,https://arxiv.org/abs/2609.23136v1,correct on-time completions,"{""jev"": 459, ""deepseek"": 463, ""qwen"": 435}","of 1,080",DeepSeek; self-hosted Qwen,,1080,arrivals per method,Jev,Jev 1.13,null (not_reported),hybrid,end_to_end,F4:supports; F6:supports,Faster decisions did not raise completions above DeepSeek.; Radio access simulated.
c-23136-modeled,arxiv:2609.23136,Simulated completion +3.50 / +8.35 points,"In modeled update scenarios, completion rose by 3.50 and 8.35 percentage points against DeepSeek and Gemini; a direct-attribute Qwen comparison retained a 53.0% latency reduction and a 4.78-point completion gain.",author_reported_experiment,Abstract,https://arxiv.org/abs/2609.23136v1,completion gain,"{""vs_deepseek_pts"": 3.5, ""vs_gemini_pts"": 8.35, ""vs_qwen_pts"": 4.78}",,DeepSeek; Gemini; Qwen,,12,trajectories per comparison,Jev,Jev 1.13,null (not_reported),simulation,simulation,F4:qualifies,Simulation results; separate from the real-service counts.
c-22753-latency,arxiv:2609.22753,Median client decision latency −15.9% to −26.5%,"Across three consecutive measurement blocks, Jev reduced median client decision latency by 15.9–26.5% against a short structured-output DeepSeek deployment.",author_reported_experiment,Abstract; §§ on decision latency,https://arxiv.org/abs/2609.22753v1,median decision latency reduction,"{""min"": 0.159, ""max"": 0.265}",,structured-output DeepSeek,,3,measurement blocks,Jev,jev-1.13,null (not_applicable_hosted),model_test,single_request,F4:supports,"Provider, region and time-window specific."
c-22753-e2e-fees,arxiv:2609.22753,No cache: e2e −11.1–25.3%; fees per correct completion −69–71%,"Without caching, median end-to-end latency on requests both systems completed correctly was 11.1–25.3% lower and API fees per correct completion 69.0–70.6% lower; correct on-time completion matched DeepSeek in 7 of 8 conditions and exceeded it in 1.",author_reported_experiment,Abstract; end-to-end latency section,https://arxiv.org/abs/2609.22753v1,e2e latency reduction; fee per correct completion,"{""e2e_reduction"": [0.111, 0.253], ""fee_reduction"": [0.69, 0.706], ""completion_matched"": ""7/8""}",,structured-output DeepSeek,,8,paired OCR conditions,Jev,jev-1.13,two-node OCR service,hybrid,end_to_end,F4:supports; F3:supports,Caching-disabled conditions only for the latency figure.
c-22753-cache,arxiv:2609.22753,Repeated-request caching largely removes the latency gap,Applying the same repeated-request cache to all backends largely removed the latency difference: the savings are concentrated in fresh interpretation.,author_reported_experiment,Abstract; cache boundary section,https://arxiv.org/abs/2609.22753v1,latency difference with caching,,,cache-enabled DeepSeek,,,see_paper,Jev,jev-1.13,two-node OCR service,hybrid,end_to_end,F4:supports,Cache policy specific to the tested service.
c-25498-self,arxiv:2609.25498,"Self-reported 92.6% macro-accuracy, 7.08 ms on CPU, “#1” on JevBench","The authors report 92.6% macro-accuracy (95% CI 90.8–94.1%) on their own corpus of 1,150+ decisions, a 7.08 ms median latency on commodity CPU and a first-place result (81.65%) on the community JevBench board.",author_reported_experiment,Abstract,https://arxiv.org/abs/2609.25498v1,macro-accuracy; latency,"{""macro_acc"": 0.926, ""latency_ms"": 7.08, ""jevbench"": 0.8165}",,,,1150,decisions (author corpus),werr runtime,null (not_reported),commodity CPU (authors’ infrastructure),model_test,single_request,F7:supports,Self-reported; leaderboard claim relies on a community submission.
c-25498-injection,arxiv:2609.25498,“0% bypass” with a 95% interval up to 30.8%,"The reported 0.0% empirical prompt-injection bypass carries a 95% Wilson interval of 0.0–30.8%, which implies a very small number of evaluated vectors.",author_reported_experiment,Abstract,https://arxiv.org/abs/2609.25498v1,bypass rate,"{""point"": 0.0, ""ci95"": [0.0, 0.308]}",,,,,small_unreported_count,werr runtime,null (not_reported),null (not_reported),model_test,not_applicable,F7:supports,Not a security guarantee.
v-types,src:typesafe-launch,No type errors by construction; plotted 0% is analytical,"TypeSafe states that Jev never makes type errors because possible outputs are defined in advance, and that its plotted 0% is analytical rather than empirical.",vendor_documentation,“Hallucination and Type-safety” and “Nuance”,https://typesafe.ai/blog/introducing-system-one-models-and-jev,type-error rate,0.0,,,,,analytical,Jev,null (launch_post),null (not_applicable_hosted),not_applicable,vendor_claim,F1:qualifies,Schema conformance only; says nothing about semantic correctness.
v-price-latency,src:typesafe-launch,$0.042 / M input tokens; 70–500 ms end to end (vendor),"Launch materials report input pricing of $0.042 per million tokens with free output and an end-to-end response time of 70–500 ms, measured from the vendor’s West Coast laptops.",vendor_documentation,Comparison table; “Evidence / Technical Results”,https://typesafe.ai/blog/introducing-system-one-models-and-jev,price; latency,"{""usd_per_mtok_input"": 0.042, ""latency_ms"": [70, 500]}",,,,,not_reported,Jev,jev-1.13.0 (docs/models),null (not_applicable_hosted),not_applicable,vendor_claim,F4:qualifies,Vendor notes it cannot prove the price is not subsidised.; Region- and load-dependent.
