arxiv_id,title,url,queries,screening_decision,reason,screening_depth,reviewer_count
2609.23986,Jev-Mem: System-One-Controlled Agentic Memory for Efficient AI Agents,https://arxiv.org/abs/2609.23986v1,"[""Q01_jev"", ""Q03_system_one"", ""Q11_recent_systemone""]",core,商业 Jev 控制平面 + 图记忆 + System Two,metadata_relevance_screen,1
2609.23959,Open-Jev Judgments on CallScreenBench: Calibrated One-Pass Scam Screening with a Small Language Model,https://arxiv.org/abs/2609.23959v1,"[""Q01_jev"", ""Q04_typed_decision"", ""Q10_recent_decision_models"", ""Q12c_jevlite""]",core,JevLite，独立 Qwen3-4B LoRA 实现,metadata_relevance_screen,1
2609.23886,"this-that-model-1.0: A typed decision model that decides in 30 ms, for a millionth of a cent",https://arxiv.org/abs/2609.23886v1,"[""Q01_jev"", ""Q04_typed_decision"", ""Q10_recent_decision_models""]",core,this-that-model-1.0；开放替代及 Jev 比较,metadata_relevance_screen,1
2609.23513,Critical Touching of Temporal Entanglement Transitions,https://arxiv.org/abs/2609.23513v1,"[""Q03_system_one"", ""Q11_recent_systemone""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.23136,Fast Intent-Driven Service Orchestration with Jev for 6G Edge Networks,https://arxiv.org/abs/2609.23136v1,"[""Q01_jev"", ""Q10_recent_decision_models""]",core,商业 Jev 解释意图，确定性调度执行,metadata_relevance_screen,1
2609.22753,Replacing Large Language Models with Jev Decision Models for Low-Latency Edge Service Orchestration,https://arxiv.org/abs/2609.22753v1,"[""Q01_jev"", ""Q10_recent_decision_models""]",core,商业 Jev 替换结构化 LLM,metadata_relevance_screen,1
2609.15919,"Pilot Early, Commit Late: A Real-Options Model of Enterprise AI Adoption under Rapid Technological Progress",https://arxiv.org/abs/2609.15919v1,"[""Q10_recent_decision_models""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.15217,Accelerating the Solving of Many Tiny General Linear Systems on GPUs: Application to Constitutive Laws,https://arxiv.org/abs/2609.15217v1,"[""Q03_system_one"", ""Q11_recent_systemone""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.11775,Rapid Learning of Dexterous In-Hand Pen Writing through Real-Time Jacobian Estimation,https://arxiv.org/abs/2609.11775v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.05322,Restricting the effects hides a nonphysical symmetry from every causal structure,https://arxiv.org/abs/2609.05322v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.02614,Ruelle--Pollicott Theory for Metastable Systems: A Unified Framework for Tipping Transitions,https://arxiv.org/abs/2609.02614v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.02211,"The relationship between solar and stellar tachoclines, dynamos, and spin-down",https://arxiv.org/abs/2609.02211v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.00943,Illiquidity at Risk,https://arxiv.org/abs/2609.00943v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.00615,BeamRMX: Radiation-Pattern-Driven Learning for Generalizable Beam Radio Map Prediction and Beam Management,https://arxiv.org/abs/2609.00615v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.30860,Well-conditioned iterative methods for large open quantum systems,https://arxiv.org/abs/2608.30860v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.29398,Review-Period Sensitivity in Multiclass Queue Scheduling,https://arxiv.org/abs/2608.29398v1,"[""Q14_typed_surveys""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.27932,Graphionale: How Graph Visualizations of LLM Rationales Affect Human Decision Making,https://arxiv.org/abs/2608.27932v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.21734,LMP-GNN: Probabilistic Reconstruction of Missing Lane Counts for Signed Max-Pressure Traffic Signal Control,https://arxiv.org/abs/2608.21734v2,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.21572,Betting for Sim-to-Real Performance Certificates,https://arxiv.org/abs/2608.21572v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.21537,"Counterfactual, Per-Decision Bias Auditing for Automated Hiring: Localizing and Explaining Disparate Impact in Applicant Tracking Systems",https://arxiv.org/abs/2608.21537v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.21434,Maximal-Rank Squeezing from Rank-One Quenches: An Exact Spectral-Reachability Theorem for Gaussian Bosonic Systems,https://arxiv.org/abs/2608.21434v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.20152,The Generalized Random Access Problem for Linear Codes,https://arxiv.org/abs/2608.20152v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.19922,Auditing Recorded Predictive Lead Service-Line Classifications Against Physical Verification: A Statewide Study of New York,https://arxiv.org/abs/2608.19922v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.18174,"Seasonal false alarms in customer churn and decline early-warning systems: adjacent-window labels confound seasonality with decline, and a year-over-year correction",https://arxiv.org/abs/2608.18174v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.17291,B-Spline Embedded Structure Learning for 3D Tooth Segmentation,https://arxiv.org/abs/2608.17291v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.15484,Poisson structures for a similarity reduction of the Drinfeld-Sokolov hierarchy of type $A$,https://arxiv.org/abs/2608.15484v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.13046,BoardroomAI: Dependency-Aware Human-Steerable Multi-Agent Deliberation through Evolving Decision Graphs,https://arxiv.org/abs/2608.13046v1,"[""Q04_typed_decision""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.12841,AQuA: Recursively Self-Improving Quantitative Trading Research Agents,https://arxiv.org/abs/2608.12841v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.11817,Quantum Inequalities from the Second Law,https://arxiv.org/abs/2608.11817v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.11241,RecSys Factory: Bounding LLM Agent Autonomy to Decision Points in the Industrial Recommender Lifecycle,https://arxiv.org/abs/2608.11241v1,"[""Q04_typed_decision""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.10698,EVIL-Detect for NLPCC 2026 Shared Task 6: LLM-Generated Text Detection,https://arxiv.org/abs/2608.10698v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.06235,Global vs. Product Observables in Bipartite Quantum Systems: The Sharp Bound,https://arxiv.org/abs/2608.06235v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.05324,Interacting Galilean and Finite-Energy Carroll Fermions,https://arxiv.org/abs/2608.05324v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.03514,"Beyond Peak TOPS/W: A System-Level Perspective on Hybrid Digital, Analogue and Neuromorphic Computing",https://arxiv.org/abs/2608.03514v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2608.02624,Neural network realization of binary refinement iterates via a two-chart atlas selector,https://arxiv.org/abs/2608.02624v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.27578,What makes prompts a graph: necessary and sufficient conditions for prompt graph engineering,https://arxiv.org/abs/2607.27578v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.24924,Efficient computation of real-time correlators using Pauli Propagation,https://arxiv.org/abs/2607.24924v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.24605,Map Multi-Tool: A Map-Based Approach to Modeling Beam Systematics for Cosmic Microwave Background Experiments,https://arxiv.org/abs/2607.24605v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.22995,Theory of approximate quantum error correction and the error-set model,https://arxiv.org/abs/2607.22995v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.20449,"The Storyteller in the Model: Narrative Pattern Inheritance, Escalation Dynamics, and Alignment Governance in LLMs",https://arxiv.org/abs/2607.20449v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.18865,Enhanced Neural Quantum State via Annealed Gradient Descent,https://arxiv.org/abs/2607.18865v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.18701,Subsonic time-periodic solutions to radially symmetric spiral flows in an annulus,https://arxiv.org/abs/2607.18701v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.17765,"FIFA World Cup 2026 as a Contamination-Free Benchmark for LLM Forecasting Agents: Four Models, a Bookmaker, and 104 Matches",https://arxiv.org/abs/2607.17765v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.17167,Normal form method of center-focus problem in piecewise-smooth systems and algorithm design,https://arxiv.org/abs/2607.17167v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.16085,Controlling Implicit Shortcut Reliance in L2 Spoken English Auto-markers,https://arxiv.org/abs/2607.16085v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.11906,In-Context Reinforcement Learning under Non-Stationarity: A Survey,https://arxiv.org/abs/2607.11906v1,"[""Q08_decision_survey""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.11216,Distributed Semantics for Distributed Quantum Computing,https://arxiv.org/abs/2607.11216v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.09090,EXHOLD: Experience-Aware Real-Time Hold Control for Large-Scale Ride-Hailing Matching at DiDi,https://arxiv.org/abs/2607.09090v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2607.01234,Modeling the Performance of the Burevestnik Nuclear-Powered Cruise Missile,https://arxiv.org/abs/2607.01234v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.29863,KbSD: Knowledge Boundary aware Self-Distillation for Behavioral Calibration in Agentic Search,https://arxiv.org/abs/2606.29863v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.25783,Non-uniqueness of weak solutions to cross-diffusion systems with advection,https://arxiv.org/abs/2606.25783v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.24003,DissProve: Automated Verification of Asynchronous Distributed Protocols with Affine Communication,https://arxiv.org/abs/2606.24003v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.23785,Controlled Chaos in 4D SCFTs,https://arxiv.org/abs/2606.23785v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.22807,KaLM-Reranker-V1: Fast but Not Late Interaction for Compressed Document Reranking,https://arxiv.org/abs/2606.22807v3,"[""Q01_jev""]",background,KaLM-Reranker-V1，相关 reranker；更新摘要中的 Jev 模型集合链接不使其成为 Jev 原始论文。,metadata_relevance_screen,1
2606.21996,"Cultural Targets, Structural Frames, Binding Morals: A Cross-Lingual Audit of Online Hate in Multicultural Singapore",https://arxiv.org/abs/2606.21996v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.19685,Following up the Kepler field with PLATO: Transit Timing Performance,https://arxiv.org/abs/2606.19685v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.15916,A generalized Stieltjes system with polynomial source,https://arxiv.org/abs/2606.15916v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.08426,CritLens: Visual Analytics for Criteria Discovery in Review-Based Decision Making,https://arxiv.org/abs/2606.08426v1,"[""Q08_decision_survey""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.05577,Multi-parameter persistence in dynamical systems for maximizing effects of control inputs,https://arxiv.org/abs/2606.05577v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.05179,Efficient Punctuation Restoration via Weighted Lookahead Scoring Method for Streaming ASR Systems,https://arxiv.org/abs/2606.05179v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2606.03488,Piston control in a two-ion quantum device,https://arxiv.org/abs/2606.03488v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.29399,Expecting Empathy: How Interaction Context Shapes Norms for Empathic Response in Digital Communication,https://arxiv.org/abs/2605.29399v1,"[""Q04_typed_decision""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.27700,CiteCheck: Retrieval-Grounded Detection of LLM Citation Hallucinations in Scientific Text,https://arxiv.org/abs/2605.27700v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.25486,RAG-Match: Retrieval-Augmented Knowledge Injection and Hierarchical Reasoning for Calibrated Semantic Relevance,https://arxiv.org/abs/2605.25486v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.23644,Balanced intersection size distributions in finite geometries and vector spaces,https://arxiv.org/abs/2605.23644v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.22547,MKG-CARE: Case-Aware Reasoning with Multimodal Knowledge Graphs for Explainable Medical Image Diagnosis,https://arxiv.org/abs/2605.22547v3,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.20080,TIC 295741342: A Triply-Eclipsing Triple Star System with a Giant Tertiary,https://arxiv.org/abs/2605.20080v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.17749,Testable and Actionable Calibration for Full Swap Regret,https://arxiv.org/abs/2605.17749v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.17657,"General Science Ranking (GSR): An Open-Source, Citation-Normalized Journal and Conference Classification System for Computer Science and Medicine",https://arxiv.org/abs/2605.17657v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.16726,A Global-Local Graph Attention Network for Traffic Forecasting,https://arxiv.org/abs/2605.16726v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.15478,Comments on higher-derivative corrections in the AdS/CFT duality,https://arxiv.org/abs/2605.15478v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.14202,LLM-Based Robustness Testing of Microservice Applications: An Empirical Study,https://arxiv.org/abs/2605.14202v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.13642,Conformal Anomaly Detection in Python: Moving Beyond Heuristic Thresholds with nonconform,https://arxiv.org/abs/2605.13642v3,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.07595,A Syndrome--Space Approach to Proximity Gaps and Correlated Agreement for Random Linear Codes and Random Reed--Solomon Codes,https://arxiv.org/abs/2605.07595v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.06933,MAGIQ: A Post-Quantum Multi-Agentic AI Governance System with Provable Security,https://arxiv.org/abs/2605.06933v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.04096,Quantum Dynamics: A Dilation-Based Approach,https://arxiv.org/abs/2605.04096v1,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.02376,Graph-Augmented Topological Internalization with Dual-Stream Classifiers for Medical Report Generation,https://arxiv.org/abs/2605.02376v2,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2605.01127,Impact-Driven Quantum Decomposition for Traffic Zone Partitioning: A Hybrid Gate-Model Framework,https://arxiv.org/abs/2605.01127v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2604.25683,K-CARE: Knowledge-driven Symmetrical Contextual Anchoring and Analogical Prototype Reasoning for E-commerce Relevance,https://arxiv.org/abs/2604.25683v1,"[""Q05_calibrated_decisions""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2604.25162,Experimental Workflows for Combinatorial Optimization: Towards Quantum Advantage,https://arxiv.org/abs/2604.25162v2,"[""Q03_system_one""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
